RegionID, CentroidX, CentroidY, CentroidZ, Volume
00913, 457.19, 93.79, 199.64, 725071
00937, 457.19, 93.79, 199.64, 725071
00457, 457.19, 93.79, 199.64, 725071
00497, 457.19, 93.79, 199.64, 725071
00402, 503.90, 108.55, 188.03, 114605
01074, 518.43, 90.32, 187.98, 14109
00905, 512.72, 97.78, 188.01, 29677
01114, 505.70, 104.31, 187.39, 12484
00233, 499.96, 114.06, 188.00, 33437
00601, 491.43, 125.25, 188.66, 18727
00649, 486.57, 129.99, 187.81, 6171
00394, 410.38, 68.43, 187.38, 99526
00281, 410.71, 45.96, 187.48, 14351
01066, 413.84, 56.00, 187.99, 23999
00401, 412.47, 64.66, 187.88, 9539
00433, 409.77, 73.95, 187.12, 26113
01046, 407.18, 86.52, 186.92, 18977
00441, 405.67, 94.26, 186.62, 6547
00409, 507.20, 128.67, 205.03, 50223
00421, 524.63, 111.23, 205.00, 5639
00973, 517.33, 118.11, 205.06, 13493
00573, 509.91, 125.37, 205.26, 5549
00613, 502.76, 133.95, 205.08, 14085
00074, 492.77, 143.40, 204.80, 8670
00121, 487.32, 149.19, 204.97, 2787
00385, 454.36, 89.21, 201.61, 351648
00593, 457.44, 68.53, 203.39, 45771
00821, 457.22, 77.00, 202.34, 96462
00721, 455.30, 85.91, 201.70, 44960
00778, 452.71, 96.79, 201.60, 93974
00033, 450.64, 110.57, 200.29, 57309
00305, 448.09, 114.78, 195.67, 13172
00425, 480.67, 117.37, 215.01, 37668
00750, 492.91, 100.99, 216.24, 4790
00269, 487.20, 105.37, 215.06, 9878
00869, 482.58, 113.45, 215.33, 4077
00902, 478.23, 124.21, 214.99, 11265
00377, 467.00, 134.60, 214.27, 6768
00393, 464.97, 138.86, 212.35, 890
00533, 412.65, 91.07, 213.76, 71401
00805, 398.11, 79.71, 214.68, 12412
00041, 411.11, 88.92, 215.46, 22868
00501, 419.97, 85.92, 212.64, 6814
00565, 412.99, 92.32, 213.04, 16072
00257, 425.04, 106.71, 211.78, 12327
00469, 420.90, 104.83, 206.47, 908
00031, 341.69, 133.74, 115.47, 263656
00572, 341.69, 133.74, 115.47, 263656
01053, 341.69, 133.74, 115.47, 263656
00739, 341.69, 133.74, 115.47, 263656
00179, 341.69, 133.74, 115.47, 263656
00227, 341.69, 133.74, 115.47, 263656
00039, 343.65, 124.30, 107.79, 127511
00935, 330.45, 106.78, 109.47, 30223
00211, 338.59, 117.36, 106.55, 37919
01015, 348.69, 130.50, 106.97, 34771
00919, 359.59, 147.32, 107.36, 20914
00927, 365.76, 150.22, 116.74, 3684
00048, 339.88, 142.59, 122.67, 136145
00588, 328.92, 139.10, 122.07, 41655
00296, 337.59, 140.13, 123.99, 40414
00772, 346.69, 144.20, 123.69, 33862
00810, 355.51, 151.96, 119.52, 16639
00819, 361.46, 152.30, 119.85, 3575
00972, 344.52, 168.91, 82.08, 91461
00171, 331.23, 159.40, 80.82, 19385
00195, 333.99, 167.20, 83.59, 8725
00304, 340.55, 165.09, 79.35, 22952
00363, 349.90, 172.16, 82.68, 24374
00084, 363.11, 181.12, 85.12, 14653
00132, 367.90, 190.02, 92.45, 1372
00714, 381.13, 218.78, 76.78, 247406
00264, 381.13, 218.78, 76.78, 247406
00492, 381.13, 218.78, 76.78, 247406
00352, 381.13, 218.78, 76.78, 247406
00476, 381.13, 218.78, 76.78, 247406
00516, 381.13, 218.78, 76.78, 247406
00723, 405.46, 223.35, 77.50, 102521
00448, 401.66, 229.11, 71.45, 19010
00412, 408.96, 229.87, 76.60, 38821
00630, 406.37, 219.08, 79.78, 29763
00440, 399.40, 207.59, 83.00, 14880
00488, 377.79, 195.53, 87.49, 47
00731, 344.64, 197.41, 74.00, 54122
00484, 331.18, 203.13, 72.48, 10880
00524, 335.01, 211.72, 76.15, 4961
00582, 341.09, 197.60, 72.81, 17228
00620, 352.64, 191.90, 73.93, 14263
00910, 364.85, 188.88, 78.00, 6790
00738, 381.13, 218.78, 76.78, 247406
00746, 374.84, 226.35, 77.63, 90763
00969, 359.33, 222.56, 69.51, 18390
00288, 374.14, 228.26, 76.44, 38590
01125, 381.45, 214.15, 78.66, 15982
00608, 386.61, 237.35, 87.69, 17683
00680, 375.85, 197.14, 87.49, 118
00095, 480.21, 263.31, 100.42, 248729
00104, 457.90, 247.13, 85.68, 122371
00996, 469.52, 256.65, 83.34, 25638
00328, 458.18, 247.45, 83.58, 52134
01101, 450.96, 240.12, 87.54, 32038
00783, 449.56, 243.37, 93.77, 11718
00831, 461.19, 256.92, 102.94, 843
00111, 530.64, 283.79, 131.23, 70473
00120, 543.75, 288.77, 130.05, 19264
00163, 533.60, 284.43, 130.54, 19915
00344, 524.15, 281.68, 132.24, 18150
00314, 515.38, 278.45, 132.61, 13144
00355, 530.64, 283.79, 131.23, 70473
00119, 465.40, 272.89, 93.84, 55885
00704, 491.04, 287.98, 96.43, 10122
00694, 471.62, 278.59, 93.32, 21316
00800, 453.44, 266.74, 93.33, 17734
00675, 438.01, 248.48, 92.96, 6684
00699, 380.13, 196.03, 87.48, 29
00254, 359.83, 81.73, 185.25, 438428
00894, 383.14, 60.92, 193.47, 50051
00671, 378.20, 42.92, 193.57, 8605
00965, 380.35, 51.29, 193.13, 14020
00774, 382.90, 63.23, 192.77, 13862
00906, 389.09, 78.34, 194.98, 11512
00279, 390.18, 88.79, 191.58, 2052
00879, 363.83, 69.89, 186.38, 156032
00442, 352.36, 59.83, 185.58, 29468
00434, 361.16, 65.04, 187.09, 43464
00545, 363.83, 69.89, 186.38, 156032
00610, 365.08, 70.83, 186.02, 49486
00274, 375.79, 82.51, 187.83, 29856
00330, 372.75, 92.16, 177.61, 3758
00886, 352.14, 94.17, 182.73, 232345
00542, 343.07, 93.06, 183.34, 51134
00606, 344.80, 94.14, 181.89, 20436
00430, 350.26, 95.09, 182.86, 42194
00687, 353.03, 92.79, 182.09, 74054
00590, 366.25, 96.82, 184.03, 40593
00622, 365.26, 97.39, 176.07, 3934
00022, 453.28, 90.18, 176.72, 207996
00532, 459.12, 69.34, 176.65, 28395
00241, 461.15, 79.41, 176.40, 51728
00635, 461.36, 88.84, 177.27, 17914
00683, 453.35, 96.60, 177.17, 60247
00308, 439.49, 104.21, 176.42, 36461
00340, 437.23, 110.89, 176.10, 13251
00541, 546.38, 200.03, 186.60, 209481
00097, 567.13, 199.02, 185.60, 32527
01127, 556.24, 194.76, 188.45, 49648
